V(VBN),V(XOTA:TAIL),V(XOTA:D),V(VSS),V(VDD),V(OUT),V(IN)
8.20972917e-01,6.81052153e-01,2.36809479e+00,0.00000000e+00,3.30000000e+00,1.70663224e+00,1.70000000e+00
8.20972917e-01,6.88896352e-01,2.36801196e+00,0.00000000e+00,3.30000000e+00,1.71653882e+00,1.71000000e+00
8.20972917e-01,6.96745421e-01,2.36792941e+00,0.00000000e+00,3.30000000e+00,1.72644527e+00,1.72000000e+00
8.20972917e-01,7.04599325e-01,2.36784712e+00,0.00000000e+00,3.30000000e+00,1.73635157e+00,1.73000000e+00
8.20972917e-01,7.12458032e-01,2.36776508e+00,0.00000000e+00,3.30000000e+00,1.74625773e+00,1.74000000e+00
8.20972917e-01,7.20321508e-01,2.36768328e+00,0.00000000e+00,3.30000000e+00,1.75616374e+00,1.75000000e+00
8.20972917e-01,7.28189721e-01,2.36760171e+00,0.00000000e+00,3.30000000e+00,1.76606959e+00,1.76000000e+00
8.20972917e-01,7.36062640e-01,2.36752036e+00,0.00000000e+00,3.30000000e+00,1.77597530e+00,1.77000000e+00
8.20972917e-01,7.43940233e-01,2.36743923e+00,0.00000000e+00,3.30000000e+00,1.78588084e+00,1.78000000e+00
8.20972917e-01,7.51822469e-01,2.36735830e+00,0.00000000e+00,3.30000000e+00,1.79578623e+00,1.79000000e+00
8.20972917e-01,7.59709317e-01,2.36727756e+00,0.00000000e+00,3.30000000e+00,1.80569147e+00,1.80000000e+00
8.20972917e-01,7.67600748e-01,2.36719701e+00,0.00000000e+00,3.30000000e+00,1.81559654e+00,1.81000000e+00
8.20972917e-01,7.75496732e-01,2.36711663e+00,0.00000000e+00,3.30000000e+00,1.82550144e+00,1.82000000e+00
8.20972917e-01,7.83397240e-01,2.36703643e+00,0.00000000e+00,3.30000000e+00,1.83540618e+00,1.83000000e+00
8.20972917e-01,7.91302241e-01,2.36695639e+00,0.00000000e+00,3.30000000e+00,1.84531075e+00,1.84000000e+00
8.20972917e-01,7.99211709e-01,2.36687651e+00,0.00000000e+00,3.30000000e+00,1.85521515e+00,1.85000000e+00
8.20972917e-01,8.07125614e-01,2.36679677e+00,0.00000000e+00,3.30000000e+00,1.86511937e+00,1.86000000e+00
8.20972917e-01,8.15043929e-01,2.36671717e+00,0.00000000e+00,3.30000000e+00,1.87502341e+00,1.87000000e+00
8.20972917e-01,8.22966626e-01,2.36663771e+00,0.00000000e+00,3.30000000e+00,1.88492728e+00,1.88000000e+00
8.20972917e-01,8.30893678e-01,2.36655838e+00,0.00000000e+00,3.30000000e+00,1.89483096e+00,1.89000000e+00
8.20972917e-01,8.38825057e-01,2.36647917e+00,0.00000000e+00,3.30000000e+00,1.90473446e+00,1.90000000e+00
8.20972917e-01,8.46760737e-01,2.36640007e+00,0.00000000e+00,3.30000000e+00,1.91463777e+00,1.91000000e+00
8.20972917e-01,8.54700691e-01,2.36632109e+00,0.00000000e+00,3.30000000e+00,1.92454089e+00,1.92000000e+00
8.20972917e-01,8.62644894e-01,2.36624221e+00,0.00000000e+00,3.30000000e+00,1.93444381e+00,1.93000000e+00
